id,year,epi_week,from_date,to_date,state,city,disease,deaths
0,1890,189001,1889-12-29,1890-01-04,NY,NEW YORK,TYPHOID FEVER,7
1,1890,189001,1889-12-29,1890-01-04,NY,NEW YORK,SCARLET FEVER,11
2,1890,189001,1889-12-29,1890-01-04,NY,NEW YORK,DIPHTHERIA,31
3,1890,189001,1889-12-29,1890-01-04,NY,NEW YORK,WHOOPING COUGH,12
4,1890,189001,1889-12-29,1890-01-04,PA,PHILADELPHIA,TYPHOID FEVER,24
5,1890,189001,1889-12-29,1890-01-04,PA,PHILADELPHIA,SCARLET FEVER,5
6,1890,189001,1889-12-29,1890-01-04,PA,PHILADELPHIA,DIPHTHERIA,17
7,1890,189001,1889-12-29,1890-01-04,MD,BALTIMORE,TYPHOID FEVER,2
8,1890,189001,1889-12-29,1890-01-04,MD,BALTIMORE,DIPHTHERIA,7
9,1890,189001,1889-12-29,1890-01-04,MA,BOSTON,TYPHOID FEVER,2
10,1890,189001,1889-12-29,1890-01-04,MA,BOSTON,SCARLET FEVER,1
11,1890,189001,1889-12-29,1890-01-04,MA,BOSTON,DIPHTHERIA,18
12,1890,189001,1889-12-29,1890-01-04,OH,CINCINNATI,TYPHOID FEVER,4
13,1890,189001,1889-12-29,1890-01-04,OH,CINCINNATI,DIPHTHERIA,9
14,1890,189001,1889-12-29,1890-01-04,OH,CINCINNATI,WHOOPING COUGH,1
15,1890,189001,1889-12-29,1890-01-04,DC,WASHINGTON,TYPHOID FEVER,4
16,1890,189001,1889-12-29,1890-01-04,DC,WASHINGTON,SCARLET FEVER,2
17,1890,189001,1889-12-29,1890-01-04,DC,WASHINGTON,DIPHTHERIA,5
18,1890,189001,1889-12-29,1890-01-04,DC,WASHINGTON,WHOOPING COUGH,1
19,1890,189001,1889-12-29,1890-01-04,MN,MINNEAPOLIS,TYPHOID FEVER,4
20,1890,189001,1889-12-29,1890-01-04,MN,MINNEAPOLIS,SCARLET FEVER,2
21,1890,189001,1889-12-29,1890-01-04,MN,MINNEAPOLIS,DIPHTHERIA,2
22,1890,189001,1889-12-29,1890-01-04,MO,KANSAS CITY,DIPHTHERIA,3
23,1890,189001,1889-12-29,1890-01-04,MO,KANSAS CITY,WHOOPING COUGH,1
24,1890,189001,1889-12-29,1890-01-04,RI,PROVIDENCE,DIPHTHERIA,6
25,1890,189001,1889-12-28,1890-01-03,IN,INDIANAPOLIS,TYPHOID FEVER,1
26,1890,189001,1889-12-28,1890-01-03,IN,INDIANAPOLIS,SCARLET FEVER,1
27,1890,189001,1889-12-28,1890-01-03,OH,TOLEDO,TYPHOID FEVER,1
28,1890,189001,1889-12-28,1890-01-03,OH,TOLEDO,DIPHTHERIA,5
29,1890,189001,1889-12-29,1890-01-04,MA,FALL RIVER,TYPHOID FEVER,1
30,1890,189001,1889-12-29,1890-01-04,MA,FALL RIVER,WHOOPING COUGH,1
31,1890,189001,1889-12-29,1890-01-04,SC,CHARLESTON,TYPHOID FEVER,3
32,1890,189001,1889-12-29,1890-01-04,ME,PORTLAND,DIPHTHERIA,1
33,1890,189001,1889-12-29,1890-01-04,NY,BINGHAMTON,TYPHOID FEVER,1
34,1890,189001,1889-12-29,1890-01-04,NY,AUBURN,SCARLET FEVER,1
35,1890,189002,1890-01-05,1890-01-11,NY,NEW YORK,TYPHOID FEVER,7
36,1890,189002,1890-01-05,1890-01-11,NY,NEW YORK,SCARLET FEVER,9
37,1890,189002,1890-01-05,1890-01-11,NY,NEW YORK,DIPHTHERIA,28
